Identifiant,Titre,Prix nuitee,Commune,Departement,Type de propriete,Id. type de logement,Type de logement,Capacite d'accueil,Nombre de salles de bain,Nombre de chambres,Nombre de lits,Type de lit,Cuisine,Internet,Television,Produits de base,Shampooing,Chauffage,Climatisation,Machine a laver,Seche-linge,Parking gratuit sur place,Internet sans fil,Television par cable,Petit dejeuner,Animaux acceptes,Pour familles/enfants,Adapte aux evenements,Logement fumeur,Acces handicapes,Ascenseur,Cheminee d'interieur,Interphone,Portier,Piscine,Jacuzzi,Salle de sport,Entree dans les lieux 24h/24,Cintres,Fer a repasser,Seche-cheveux,Espace de travail pour ordinateur,Detecteur de fumee,Detecteur de monoxyde,Kit de premiers secours,Fiche securite,Extincteur,Cafetiere,Cles remises par l'hote,Couloir large,Cuisiniere,Depot des bagages autorise,Draps,Eau chaude,Entree large,Entree privee,Equipements de baes,Four,Lave-vaisselle,Lit-parapluie,Livres et jouets pour enfants,Oreillers et couvertures supplementaires,Refrigerateur,Sejour longue duree autorise,Ustensiles de cuisine de base,Duree minimale du sejour,Animal sur place,Conditions d'annulation,Disponible,id,prefixe,code,created,updated
"13596242",Studio plein centre ville du vieil Aix en Provence,48,AIX EN PROVENCE,13,Appartement,3,Logement entier,2,1,0,0,Vrai lit,X,,X,X,,X,,X,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,3,,,"0",,,,,
"13610614",Studio Cozy au forum des Cardeurs,55,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,1,1,0,,X,,,,,,,,,X,X,,,,X,X,,,,,,,,,,X,X,,,X,X,,X,,,,,,,,,,,,,,,,,,,,,1,,,"0",13001000AM,"000",AM,1999/12/01,2018/12/06
"13630053",Magnifique appartement parc torse!,72,AIX EN PROVENCE,13,Appartement,3,Logement entier,2,1,0,0,Vrai lit,X,X,X,X,,X,X,X,,X,X,,,,X,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"0",13001000BN,"000",BN,1999/12/06,2018/12/06
"13633252",Villa Annie,185,AIX EN PROVENCE,13,Maison,3,Logement entier,6,1,3,0,,X,X,X,X,,,X,X,,X,X,,,,X,,,,,X,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,5,,,"0",13001000BC,"000",BC,1999/12/03,2018/12/06
"13636879",Spacieux studio wifi hypercentre lumineux,52,AIX EN PROVENCE,13,Appartement,3,Logement entier,2,1,0,0,Canape convertible,X,,X,X,,X,,X,,,X,,,X,X,,,,,X,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,1,,,"0",13001000AM,"000",AM,1999/12/01,2018/12/06
"13638713",Belle Villa Piscine 8 Personnes Centre Aix a pieds,260,AIX EN PROVENCE,13,Villa,3,Logement entier,8,35,4,0,,X,,X,X,,X,X,X,X,X,X,,,,X,X,,,,X,,,X,X,X,,X,X,X,X,X,,X,,X,,,,,,,,,,,,,,,,,,,7,,,"0",13001000CZ,"000",CZ,1999/12/15,2018/12/06
"13649359",Studio  hypercentre,32,AIX EN PROVENCE,13,Appartement,3,Logement entier,2,1,0,0,Vrai lit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"0",13001000AS,"000",AS,1999/12/02,2018/12/06
"13649499",Appartement plein sud donnant sur la cathedrale,70,AIX EN PROVENCE,13,Appartement,3,Logement entier,2,1,1,0,,X,X,X,X,,X,,X,,,X,,,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,"0",13001000AS,"000",AS,1999/12/02,2018/12/06
"13666628",APPARTEMENT 3 PIECES,70,AIX EN PROVENCE,13,Appartement,3,Logement entier,4,1,2,0,,X,,,X,,,,X,,,X,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,"0",13001000AB,"000",AB,1999/11/30,2018/12/06
"13667451",Superbe T3 de 75m² avec grand jardin ensoleille,71,AIX EN PROVENCE,13,Appartement,3,Logement entier,3,1,2,0,,X,X,X,X,,X,,X,,X,X,,,,X,,,,X,,,,,,,,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,3,,,"0",13001000LY,"000",LY,2003/01/07,2018/12/06
